id,name,card_type,mana,colors,oracle_text,power,toughness,is_commander,is_partner,token_pools,starting_pile,image,background_image,background_color,back_image
06c595fa-55ff-46f3-afaf-17edae465864,"Splinter, the Mentor",Creature,{1}{B},Black,"Menace
Whenever Splinter or another nontoken creature you control leaves the battlefield, create a Mutagen token.
Partner—Character select (You can have two commanders if both have this ability.)",2,2,false,true,,deck,https://cards.scryfall.io/normal/front/0/6/06c595fa-55ff-46f3-afaf-17edae465864.jpg,https://storage.googleapis.com/archidekt-card-images/tmc/72e637db-7112-406f-809b-0eda248488b5_art_crop.jpg,#07130e,
bccdd54c-e64b-44d2-87b3-e80029672529,"Raphael, the Muscle",Creature,{4}{R},Red,"Double all damage that creatures you control with counters on them would deal.
When Raphael enters, create a Mutagen token.
Partner—Character select (You can have two commanders if both have this ability.)",4,4,false,true,,deck,https://cards.scryfall.io/normal/front/b/c/bccdd54c-e64b-44d2-87b3-e80029672529.jpg,https://storage.googleapis.com/archidekt-card-images/tmc/72e637db-7112-406f-809b-0eda248488b5_art_crop.jpg,#07130e,
bac2d744-db65-4b56-8634-c87fd00c090e,"Michelangelo, the Heart",Creature,{1}{G},Green,"Trample
Raid (the Fridge) — At the beginning of your second main phase, if you attacked this turn, put a +1/+1 counter on target creature and create a Food token.
Partner—Character select (You can have two commanders if both have this ability.)",2,1,false,true,,deck,https://cards.scryfall.io/normal/front/b/a/bac2d744-db65-4b56-8634-c87fd00c090e.jpg,https://storage.googleapis.com/archidekt-card-images/tmc/72e637db-7112-406f-809b-0eda248488b5_art_crop.jpg,#07130e,
2c99c472-8820-43d8-9dfa-508dc3d07478,Continue?,Instant,{1}{W},White,Choose up to four target creature cards in your graveyard that were put there from the battlefield this turn. Return them to the battlefield.,,,false,false,,deck,https://cards.scryfall.io/normal/front/2/c/2c99c472-8820-43d8-9dfa-508dc3d07478.jpg,https://storage.googleapis.com/archidekt-card-images/tmc/72e637db-7112-406f-809b-0eda248488b5_art_crop.jpg,#07130e,
387f6f60-69da-4965-9ab9-57bdb763a013,Endless Foot Assault,Enchantment,{2}{W},White,"Squad {1}{W} (As an additional cost to cast this spell, you may pay {1}{W} any number of times. When this enchantment enters, create that many tokens that are copies of it.)
Whenever you attack, for each opponent, create a 1/1 black Ninja creature token that's tapped and attacking that player.",,,false,false,,deck,https://cards.scryfall.io/normal/front/3/8/387f6f60-69da-4965-9ab9-57bdb763a013.jpg,https://storage.googleapis.com/archidekt-card-images/tmc/72e637db-7112-406f-809b-0eda248488b5_art_crop.jpg,#07130e,
7265ab42-5434-4127-acd6-8905ab63d62d,"April O'Neil, Live on the Scene",Creature,{1}{U},Blue,"Whenever a Mutant, Ninja, or Turtle you control enters, investigate. (Create a Clue token. It's an artifact with ""{2}, Sacrifice this token: Draw a card."")
Partner—Character select",2,1,false,true,,deck,https://cards.scryfall.io/normal/front/7/2/7265ab42-5434-4127-acd6-8905ab63d62d.jpg,https://storage.googleapis.com/archidekt-card-images/tmc/72e637db-7112-406f-809b-0eda248488b5_art_crop.jpg,#07130e,
f5ee290f-03cd-48a8-ba6e-d934cb3f4ff4,"Baxter, Fly in the Ointment",Creature,{3}{U},Blue,"Whenever Baxter enters or attacks, each creature you control with a counter on it gains flying until end of turn.
Whenever you draw a card, put a +1/+1 counter on Baxter.",2,2,false,false,,deck,https://cards.scryfall.io/normal/front/f/5/f5ee290f-03cd-48a8-ba6e-d934cb3f4ff4.jpg,https://storage.googleapis.com/archidekt-card-images/tmc/72e637db-7112-406f-809b-0eda248488b5_art_crop.jpg,#07130e,
c3128529-4ccd-4809-8388-03f7faa0eabe,"Irma, Part-Time Mutant",Creature,{2}{U},Blue,"At the beginning of combat on your turn, Irma becomes a copy of up to one other target creature you control, except her name is Irma, Part-Time Mutant and she has this ability. Then put a +1/+1 counter on her.",1,1,false,false,,deck,https://cards.scryfall.io/normal/front/c/3/c3128529-4ccd-4809-8388-03f7faa0eabe.jpg,https://storage.googleapis.com/archidekt-card-images/tmc/72e637db-7112-406f-809b-0eda248488b5_art_crop.jpg,#07130e,
796c1b1c-c701-4c7e-922b-0964f04e03a6,"Ray Fillet, Wave Warrior",Creature,{2}{U},Blue,"Flying
Evolve (Whenever a creature you control enters, if that creature has greater power or toughness than this creature, put a +1/+1 counter on this creature.)
Whenever a creature you control with a counter on it deals combat damage to a player, draw a card.",0,2,false,false,,deck,https://cards.scryfall.io/normal/front/7/9/796c1b1c-c701-4c7e-922b-0964f04e03a6.jpg,https://storage.googleapis.com/archidekt-card-images/tmc/72e637db-7112-406f-809b-0eda248488b5_art_crop.jpg,#07130e,
fe4ab58f-3fb5-45fa-8ea1-794efa6f7da9,Dimension X Pizzasaur,Creature,{3}{B},Black,"When this creature enters, put two +1/+1 counters on target creature. When you do, destroy up to one target creature with mana value less than or equal to the number of counters among permanents you control.
{2}, {T}, Sacrifice this creature: You gain 3 life and each opponent loses 3 life.",2,1,false,false,,deck,https://cards.scryfall.io/normal/front/f/e/fe4ab58f-3fb5-45fa-8ea1-794efa6f7da9.jpg,https://storage.googleapis.com/archidekt-card-images/tmc/72e637db-7112-406f-809b-0eda248488b5_art_crop.jpg,#07130e,
